법정동,행정기관코드,법정동코드
서울특별시,1100000000,1100000000
종로구,1111000000,1111000000
청운동,1111051500,1111010100
신교동,1111051500,1111010200
궁정동,1111051500,1111010300
효자동,1111051500,1111010400
창성동,1111051500,1111010500
통인동,1111051500,1111010800
누상동,1111051500,1111010900
누하동,1111051500,1111011000
옥인동,1111051500,1111011100
세종로,1111051500,1111011900
통의동,1111053000,1111010600
적선동,1111053000,1111010700
체부동,1111053000,1111011200
필운동,1111053000,1111011300
내자동,1111053000,1111011400
사직동,1111053000,1111011500
도렴동,1111053000,1111011600
당주동,1111053000,1111011700
내수동,1111053000,1111011800
세종로,1111053000,1111011900
신문로1가,1111053000,1111012000
신문로2가,1111053000,1111012100
팔판동,1111054000,1111013900
삼청동,1111054000,1111014000
안국동,1111054000,1111014100
소격동,1111054000,1111014200
화동,1111054000,1111014300
사간동,1111054000,1111014400
송현동,1111054000,1111014500
부암동,1111055000,1111018400
홍지동,1111055000,1111018500
신영동,1111055000,1111018600
구기동,1111056000,1111018200
평창동,1111056000,1111018300
무악동,1111057000,1111018700
교남동,1111058000,1111017600
평동,1111058000,1111017700
송월동,1111058000,1111017800
홍파동,1111058000,1111017900
교북동,1111058000,1111018000
행촌동,1111058000,1111018100
가회동,1111060000,1111014600
재동,1111060000,1111014700
계동,1111060000,1111014800
원서동,1111060000,1111014900
세종로,1111061500,1111011900
청진동,1111061500,1111012200
서린동,1111061500,1111012300
수송동,1111061500,1111012400
중학동,1111061500,1111012500
종로1가,1111061500,1111012600
공평동,1111061500,1111012700
관훈동,1111061500,1111012800
견지동,1111061500,1111012900
와룡동,1111061500,1111013000
권농동,1111061500,1111013100
운니동,1111061500,1111013200
익선동,1111061500,1111013300
경운동,1111061500,1111013400
관철동,1111061500,1111013500
인사동,1111061500,1111013600
낙원동,1111061500,1111013700
종로2가,1111061500,1111013800
훈정동,1111061500,1111015000
묘동,1111061500,1111015100
봉익동,1111061500,1111015200
돈의동,1111061500,1111015300
장사동,1111061500,1111015400
관수동,1111061500,1111015500
종로3가,1111061500,1111015600
인의동,1111061500,1111015700
예지동,1111061500,1111015800
원남동,1111061500,1111015900
종로4가,1111061500,1111016100
연지동,1111063000,1111016000
효제동,1111063000,1111016200
종로5가,1111063000,1111016300
종로6가,1111063000,1111016400
충신동,1111063000,1111016700
이화동,1111064000,1111016500
연건동,1111064000,1111016600
동숭동,1111064000,1111016800
와룡동,1111065000,1111013000
혜화동,1111065000,1111016900
명륜1가,1111065000,1111017000
명륜2가,1111065000,1111017100
명륜4가,1111065000,1111017200
명륜3가,1111065000,1111017300
창신동,1111067000,1111017400
창신동,1111068000,1111017400
창신동,1111069000,1111017400
숭인동,1111070000,1111017500
숭인동,1111071000,1111017500
중구,1114000000,1114000000
소공동,1114052000,1114011100
북창동,1114052000,1114011300
태평로2가,1114052000,1114011400
남대문로2가,1114052000,1114011500
남대문로3가,1114052000,1114011600
남대문로4가,1114052000,1114011700
봉래동1가,1114052000,1114011900
